geographic_area,city,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
AL,abanda cdp,67.2,30.2,0.0,0.0,1.6,67.2,30.2,0.0,0.0,1.6,11207.0,21.2,78.8
AL,abbeville city,54.4,41.4,0.1,1.0,3.1,54.4,41.4,0.1,1.0,3.1,25615.0,69.1,29.1
AL,adamsville city,52.3,44.9,0.5,0.3,2.3,52.3,44.9,0.5,0.3,2.3,42575.0,78.9,25.5
AL,addison town,99.1,0.1,0.0,0.1,0.4,99.1,0.1,0.0,0.1,0.4,37083.0,81.4,30.7
AL,akron town,13.2,86.5,0.0,0.0,0.3,13.2,86.5,0.0,0.0,0.3,21667.0,68.6,42.0
AL,alabaster city,79.4,13.5,0.4,0.9,9.0,79.4,13.5,0.4,0.9,9.0,71816.0,89.3,11.2
AL,albertville city,75.9,1.9,0.8,0.5,27.9,75.9,1.9,0.8,0.5,27.9,32911.0,72.7,26.7
AL,alexander city city,62.2,32.0,0.2,0.9,4.8,62.2,32.0,0.2,0.9,4.8,29874.0,78.1,30.4
AL,alexandria cdp,87.4,10.2,0.3,0.5,0.9,87.4,10.2,0.3,0.5,0.9,56058.0,88.8,9.7
AL,aliceville city,22.6,74.9,0.1,0.0,1.2,22.6,74.9,0.1,0.0,1.2,21131.0,74.3,41.3
AL,allgood town,79.6,0.6,0.3,0.6,49.4,79.6,0.6,0.3,0.6,49.4,42009.0,48.1,27.7
AL,altoona town,95.8,1.7,0.2,0.2,1.1,95.8,1.7,0.2,0.2,1.1,27566.0,66.9,27.5
AL,andalusia city,70.5,25.9,0.4,1.0,1.9,70.5,25.9,0.4,1.0,1.9,31968.0,81.1,24.5
AL,anderson town,97.9,0.0,0.4,0.0,0.7,97.9,0.0,0.4,0.0,0.7,34792.0,85.7,13.8
AL,anniston city,44.7,51.5,0.3,0.8,2.7,44.7,51.5,0.3,0.8,2.7,29681.0,79.8,31.7
AL,arab city,96.6,0.1,0.6,0.7,1.7,96.6,0.1,0.6,0.7,1.7,40292.0,87.6,16.7
AL,ardmore town,94.3,1.9,0.8,0.9,1.3,94.3,1.9,0.8,0.9,1.3,35670.0,77.7,19.1
AL,argo town,94.1,3.6,0.4,0.3,0.5,94.1,3.6,0.4,0.3,0.5,57212.0,87.5,8.6
AL,ariton town,78.3,19.2,0.0,0.1,6.0,78.3,19.2,0.0,0.1,6.0,24286.0,71.3,37.6
AL,arley town,94.4,0.0,0.6,0.3,1.4,94.4,0.0,0.6,0.3,1.4,28750.0,80.6,31.6
AL,ashford town,79.0,19.5,0.2,0.2,0.8,79.0,19.5,0.2,0.2,0.8,42704.0,83.5,18.8
AL,ashland town,71.5,24.1,0.3,0.7,5.7,71.5,24.1,0.3,0.7,5.7,31438.0,77.9,22.4
AL,ashville city,75.8,20.3,0.2,0.3,3.8,75.8,20.3,0.2,0.3,3.8,40547.0,77.6,28.3
AL,athens city,73.0,17.5,0.6,0.9,8.8,73.0,17.5,0.6,0.9,8.8,47542.0,83.4,13.0
AL,atmore city,40.0,55.6,1.8,0.3,1.8,40.0,55.6,1.8,0.3,1.8,26775.0,73.7,24.7
AL,attalla city,81.5,12.7,0.4,0.5,4.7,81.5,12.7,0.4,0.5,4.7,37191.0,76.0,20.3
AL,auburn city,75.1,16.5,0.3,5.3,2.9,75.1,16.5,0.3,5.3,2.9,38342.0,94.3,31.8
AL,autaugaville town,31.3,66.8,0.2,0.0,0.8,31.3,66.8,0.2,0.0,0.8,24833.0,71.2,24.1
AL,avon town,94.7,1.8,1.8,0.0,1.3,94.7,1.8,1.8,0.0,1.3,40417.0,82.8,22.2
AL,axis cdp,66.8,26.9,3.2,0.1,0.9,66.8,26.9,3.2,0.1,0.9,55750.0,79.9,6.8
AL,babbie town,96.7,0.0,0.0,1.5,0.2,96.7,0.0,0.0,1.5,0.2,41912.0,81.2,15.7
AL,baileyton town,96.2,0.2,0.5,0.0,1.5,96.2,0.2,0.5,0.0,1.5,31875.0,74.7,28.6
AL,bakerhill town,61.6,35.5,0.7,0.0,1.1,61.6,35.5,0.7,0.0,1.1,31875.0,72.4,19.1
AL,ballplay cdp,97.5,0.1,0.7,0.3,1.0,97.5,0.1,0.7,0.3,1.0,37778.0,80.3,7.1
AL,banks town,69.3,24.6,2.2,0.0,1.1,69.3,24.6,2.2,0.0,1.1,28750.0,73.0,38.2
AL,bay minette city,60.4,35.3,1.0,0.8,1.8,60.4,35.3,1.0,0.8,1.8,31576.0,79.1,26.3
AL,bayou la batre city,60.3,12.3,0.4,22.8,2.8,60.3,12.3,0.4,22.8,2.8,34583.0,58.5,30.1
AL,bear creek town,97.1,0.1,0.7,0.2,1.8,97.1,0.1,0.7,0.2,1.8,35563.0,76.7,25.3
AL,beatrice town,23.6,76.1,0.3,0.0,0.0,23.6,76.1,0.3,0.0,0.0,18417.0,89.1,44.9
