,city,geographic_area,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
0,acalanes ridge cdp,CA,"83,60","0,40","0,70","11,10","4,40","83,60","0,40","0,70","11,10","4,40","156953,00","100,00","2,50"
1,acampo cdp,CA,"49,60","0,00","0,30","0,90","58,40","49,60","0,00","0,30","0,90","58,40","152713,00","77,10","0,00"
2,acton cdp,CA,"86,40","0,80","0,90","2,00","18,10","86,40","0,80","0,90","2,00","18,10","89150,00","88,20","7,60"
3,adelanto city,CA,"43,80","20,50","1,30","1,90","58,30","43,80","20,50","1,30","1,90","58,30","33298,00","67,50","40,30"
4,agoura hills city,CA,"84,30","1,30","0,30","7,50","9,50","84,30","1,30","0,30","7,50","9,50","113658,00","95,10","5,80"
5,agua dulce cdp,CA,"85,40","1,80","0,70","2,30","18,30","85,40","1,80","0,70","2,30","18,30","99638,00","96,60","6,40"
6,aguanga cdp,CA,"82,40","1,00","1,80","2,10","24,30","82,40","1,00","1,80","2,10","24,30","43505,00","81,10","7,00"
7,ahwahnee cdp,CA,"91,90","0,30","1,30","0,70","8,70","91,90","0,30","1,30","0,70","8,70","62715,00","92,50","11,70"
8,airport cdp,CA,"56,40","2,10","2,40","3,40","63,60","56,40","2,10","2,40","3,40","63,60","32845,00","45,90","37,40"
9,alameda city,CA,"50,80","6,40","0,60","31,20","11,00","50,80","6,40","0,60","31,20","11,00","79312,00","91,30","9,80"
10,alamo cdp,CA,"86,90","0,50","0,10","8,20","5,80","86,90","0,50","0,10","8,20","5,80","165070,00","98,50","1,90"
11,albany city,CA,"54,60","3,50","0,50","31,20","10,20","54,60","3,50","0,50","31,20","10,20","79596,00","96,40","11,40"
12,alderpoint cdp,CA,"91,40","0,00","4,80","0,50","5,40","91,40","0,00","4,80","0,50","5,40","33015,00","70,50","40,80"
13,alhambra city,CA,"28,30","1,50","0,60","52,90","34,40","28,30","1,50","0,60","52,90","34,40","53582,00","80,70","15,80"
14,alhambra valley cdp,CA,"90,70","0,30","0,00","4,50","8,80","90,70","0,30","0,00","4,50","8,80","116250,00","90,50","2,20"
15,aliso viejo city,CA,"72,00","2,00","0,30","14,60","17,10","72,00","2,00","0,30","14,60","17,10","102367,00","96,40","4,90"
16,allendale cdp,CA,"82,30","3,30","1,50","2,80","15,60","82,30","3,30","1,50","2,80","15,60","121875,00","96,60","3,20"
17,allensworth cdp,CA,"33,50","4,70","0,00","1,70","92,60","33,50","4,70","0,00","1,70","92,60","28929,00","37,20","49,50"
18,alondra park cdp,CA,"43,20","9,40","0,40","16,20","50,10","43,20","9,40","0,40","16,20","50,10","56631,00","77,90","23,20"
